iteration,r2_train,r2_val,mae_train,mae_val
1,0.5507350840479546,0.5407324553287366,1151.69544730632,1185.1127297853068
2,0.5463962626437587,0.5373523978782442,1156.5852801837373,1189.209581123553
3,0.5523450847465632,0.5227871741824547,1144.3244718941755,1159.7326761247996
4,0.5489226069170727,0.5297151542832416,1155.0694386892421,1207.7436053460315
5,0.542546447117686,0.5280271242881516,1152.8651310877349,1165.3090053387873
6,0.5379980494042442,0.5331961464547763,1161.822869828109,1178.3683789981658
7,0.5495537619781876,0.5290694936776716,1149.3150389646519,1190.2578698272835
8,0.5441040653217593,0.5305675033945456,1166.3840625670255,1165.1005093825866
9,0.5448120062453052,0.5239040314122704,1159.4184399226403,1174.983390482576
10,0.5445214604620012,0.5201359707812869,1162.3498894707423,1192.1870200662283
11,0.5531678203080962,0.536949147922515,1153.316419164461,1178.3603606950862
12,0.548570842849891,0.5222600519380511,1160.061792089096,1184.8366236107372
13,0.5467217465945415,0.5326409508308161,1161.102704216193,1187.9425775539298
14,0.547086246708277,0.5299428091866798,1162.5169869629808,1199.677709760123
15,0.544556721519338,0.5362321138342512,1183.1674919951224,1188.4008586016894
16,0.5350536895089462,0.5233277285136271,1179.7710309201946,1219.3306170760604
17,0.5373314514412186,0.5258009456085779,1172.9269876314854,1176.23353371023
18,0.5495946712558658,0.5418571833974661,1159.6216895441344,1201.8358720851695
19,0.5427265318536556,0.5200503013388764,1165.053266231075,1197.6198742749675
20,0.5350144979269318,0.522920951121679,1176.053433864581,1168.9456577096842
21,0.5508962891576294,0.5280838909780269,1152.864103771359,1161.8101628331888
22,0.5352440723155045,0.5167130850008034,1168.7629771036818,1186.9949354636192
23,0.5502815680705897,0.5318807465488915,1155.424837266484,1178.6129326733999
24,0.5521277864970872,0.5269454700927372,1149.3051638158086,1184.5702229109434
25,0.5280780520569046,0.514420841083582,1197.8244929884997,1194.0656960227273
26,0.5418376494642252,0.524380023697093,1165.6635993697041,1199.9624153358893
27,0.5480020598319638,0.5371055700459482,1161.3835606409052,1205.7513567417764
28,0.5465457924946727,0.5304271259343238,1146.2972187077494,1168.9875380025521
29,0.5480934829878354,0.5240127672605754,1152.8631744091854,1160.9086675094568
30,0.5409030116914477,0.529654984900165,1161.1126518906215,1198.3353295805096
31,0.5535223158416384,0.526973580410742,1153.337564040672,1162.926408586008
32,0.5394267027558868,0.5312784840499449,1165.7819503878454,1199.536658226668
33,0.5397541772952432,0.5341825561059642,1170.9768064030866,1178.3280934752381
34,0.5449217455328974,0.5367263815932187,1172.8744556047805,1186.905684662643
35,0.5482638955087848,0.5283172318606616,1145.8355494402479,1194.4194001412209
36,0.544755945262788,0.5290084591643334,1166.2672165711015,1184.0889436563314
37,0.5379889395313183,0.5158680701850098,1173.092309398568,1198.8935812520535
38,0.534291264612309,0.5218647457492126,1172.1455406220543,1188.0294429849707
39,0.5235342748862081,0.518544924803092,1224.864072079166,1229.8930109493028
40,0.5486110465711516,0.5257577902357194,1175.9506829566515,1190.0734263529166
41,0.5404285914709234,0.515673052474511,1182.2069465681384,1181.9814306551175
42,0.5525655361298283,0.5318526881682872,1147.6588361221636,1185.9590886957237
43,0.5497996663202265,0.5280442651571053,1148.0067783970026,1187.0008555995842
44,0.542825341736317,0.5305580962371887,1160.3110915402983,1197.7922579786225
45,0.5443492020205418,0.536095526269014,1172.5063023754515,1189.7132739270776
46,0.5448313549688927,0.5288589627821263,1153.0311853053108,1188.9653948760701
47,0.5403329979066004,0.5315898587183263,1161.4648919702938,1180.4325908070373
48,0.555435891807426,0.5232958504279123,1154.4562298300957,1196.2643796608663
49,0.5497142695333372,0.5303412024230003,1152.4936776623,1170.2931661764321
50,0.5499813222445299,0.5300311180464772,1158.7646497354542,1192.4262506784132
